own_mmsi;obst_mmsi;own_speed;obst_speed;r_maneuver_own;r_maneuver_obst;r_cpa;COLREG;pre_man_t_cpa_own
205453000;636016188;8.0990550595;4.5565079365;8503.8546983118;8503.8546983118;1000.2938818167;3;
636016188;205453000;4.5565079365;8.0990550595;8503.8546983118;8503.8546983118;1000.2938818167;3;
205453000;636016188;8.0990550595;4.5565079365;8503.8546983118;8503.8546983118;1000.2938818167;3;
636016188;205453000;4.5565079365;8.0990550595;8503.8546983118;8503.8546983118;1000.2938818167;3;
244090097;255802940;8.4531183862;4.2669415509;3795.7980689178;3795.7980689178;1000.5613824249;-2;
219348000;257694000;8.7264648438;8.1853938802;8469.0226596698;8469.0226596698;1000.7151942486;3;
257694000;219348000;8.1853938802;8.7264648438;8469.0226596698;8469.0226596698;1000.7151942486;3;
219348000;257694000;8.7264648438;8.1853938802;8469.0226596698;8469.0226596698;1000.7151942486;3;
257694000;219348000;8.1853938802;8.7264648438;8469.0226596698;8469.0226596698;1000.7151942486;3;
258113000;244543000;4.4884041132;5.6514690171;13979.7482108942;13979.7482108942;1001.0165283351;-1;
258113000;244543000;4.6203541667;5.751328125;12619.4562327384;12757.5595475781;1001.0165283351;-1;
258113000;244543000;4.70234375;5.2469314236;10344.0319841926;10344.0319841926;1001.0165283351;-1;
258113000;244543000;4.70234375;5.2469314236;10348.2712300171;10348.2712300171;1001.3511072546;-1;
232007940;230666000;2.7095413773;5.778791956;12651.6596417229;12651.6596417229;1001.5790832481;-1;
256600000;257056010;4.3205295139;4.7489652778;11833.8747568157;11833.8747568157;1001.580351245;3;
257056010;256600000;4.7489652778;4.3205295139;11833.8747568157;11833.8747568157;1001.580351245;3;
256600000;257056010;4.3205295139;4.7489652778;11833.8747568157;11833.8747568157;1001.580351245;3;
257056010;256600000;4.7489652778;4.3205295139;11833.8747568157;11833.8747568157;1001.580351245;3;
258829000;259983000;4.1992030165;5.5423350694;5977.6392965786;5977.6392965786;1001.5887878766;3;
259983000;258829000;5.5423350694;4.1992030165;5977.6392965786;5977.6392965786;1001.5887878766;3;
258829000;259983000;4.1992030165;5.5423350694;5977.6392965786;5977.6392965786;1001.5887878766;3;
259983000;258829000;5.5423350694;4.1992030165;5977.6392965786;5977.6392965786;1001.5887878766;3;
636017523;219015362;5.9370997299;1.9396609761;10029.3436515058;10029.3436515058;1001.719047438;-1;
219001976;357562000;2.946859499;7.921640625;6643.7483523987;6643.7483523987;1002.0885240337;-1;
219001976;357562000;2.946859499;7.921640625;6643.7483523987;6643.7483523987;1002.0885240337;-1;
219001976;357562000;2.9425820313;7.9320902778;7240.4464848516;7240.4464848516;1002.1466210091;-1;
219001976;357562000;2.9425820313;7.9320902778;7240.4464848516;7240.4464848516;1002.1466210091;-1;
220051000;477193300;4.847958734;5.8477864583;9279.1049703083;9279.1049703083;1002.4655854442;3;
220051000;477193300;4.847958734;5.8477864583;9279.1049703083;9279.1049703083;1002.4655854442;3;
305299000;636017209;6.5180482105;6.4787847222;9724.6329108095;9724.6329108095;1002.821509542;3;
636017209;305299000;6.4787847222;6.5180482105;9724.6329108095;9724.6329108095;1002.821509542;3;
305299000;636017209;6.5180482105;6.4787847222;9724.6329108095;9724.6329108095;1002.821509542;3;
